








id,topic,pic,date
2,Expresso,images/expresso.jpg,2023-02-15
3,Doppio,images/doppio.jpg,2023-01-10
4,Latte,images/16801640852965.jpg,2023-03-29
6,"Fair White",images/16807419446713.jpg,2023-04-05
7,"New Coffee",images/16807528673821.jpg,2023-04-05
8,"Black Coffee",images/16807532122760.jpg,2023-04-06
9,"American Coffee",images/16807536645799.jpg,2023-04-06
10,"Hot chocolate",images/16807538762445.jpg,2023-04-06
11,"Deli eggs",images/16807539833197.jpg,2023-04-06
12,"Chocolate with cream",images/16807546224135.jpg,2023-04-02
